year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2021.0,3.0,Transporti dhe magazinimi,FERIZAJ,INDIVIDUAL,182.0,20590.85,,False,False,False,False,False,False,False,2021-03,9.932650645427092
2024.0,3.0,"Aktivitetet profesionale, shkencore dhe teknike",SKENDERAJ,INDIVIDUAL,3.0,950.0,,False,False,False,False,False,False,False,2024-03,6.85751406254539
2022.0,12.0,Industria perpunuese,LIPJAN,SH.P.K.,3.0,70390.24,,False,False,False,False,False,False,False,2022-12,11.16182410258567
2023.0,3.0,"Artet, Argetimi dhe rekreacioni",SHTIME,INDIVIDUAL,6.0,5432.2,,False,False,False,False,False,False,False,2023-03,8.600283557948336
2021.0,1.0,Ndertimtaria,PRISHTINË,PËRFAQËSUES FISKAL,1.0,0.0,,False,False,False,False,False,False,False,2021-01,0.0
2022.0,5.0,Sherbimet administrative dhe mbeshtetese,MITROVICË VERIORE,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2022-05,0.0
2021.0,5.0,Ndertimtaria,RAHOVEC,INDIVIDUAL,1.0,4541.52,,False,False,False,False,False,False,False,2021-05,8.421237203122494
2019.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GJILAN,SH.P.K.,1.0,5244.05,,False,False,False,False,False,False,False,2019-05,8.565040053673425
2020.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,INDIVIDUAL,10.0,131625.02,,False,False,False,False,False,False,False,2020-10,11.787719998694
2022.0,9.0,Sherbimet administrative dhe mbeshtetese,FUSHË KOSOVË,INDIVIDUAL,4.0,0.0,,False,False,False,False,False,False,False,2022-09,0.0
2025.0,3.0,"Aktivitetet profesionale, shkencore dhe teknike",SKENDERAJ,INDIVIDUAL,3.0,1225.0,,False,False,False,False,False,False,False,2025-03,7.111512116496157
2019.0,8.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,PRIZREN,INDIVIDUAL,2.0,7070.71,,False,False,False,False,False,False,False,2019-08,8.863857596689348
2025.0,6.0,Sherbimet administrative dhe mbeshtetese,FERIZAJ,INDIVIDUAL,2.0,100.0,,False,False,False,False,False,False,False,2025-06,4.61512051684126
2020.0,12.0,Industria perpunuese,SHTIME,INDIVIDUAL,4.0,18080.0,,False,False,False,False,False,False,False,2020-12,9.802616942151154
2024.0,7.0,Bujqesia;Pylltaria dhe Peshkimi,SKENDERAJ,INDIVIDUAL,1.0,51728.88,,False,False,False,False,False,False,False,2024-07,10.853790843257771
2020.0,11.0,"Aktivitetet profesionale, shkencore dhe teknike",FERIZAJ,SH.P.K.,8.0,595277.66,,False,False,False,False,False,False,False,2020-11,13.296784911027082
2020.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SUHAREKË,SH.P.K.,1.0,12052.5,,False,False,False,False,False,False,False,2020-12,9.397110353176034
2019.0,2.0,Aktivitetet e tjera sherbyese,FERIZAJ,INDIVIDUAL,1.0,1414.57,,False,False,False,False,False,False,False,2019-02,7.255287555819506
2019.0,3.0,Aktivitetet e tjera sherbyese,FERIZAJ,SH.P.K.,1.0,395.0,,False,False,False,False,False,False,False,2019-03,5.981414211254481
2020.0,5.0,Industria perpunuese,GJILAN,SH.P.K.,10.0,213660.17,,False,False,False,False,False,False,False,2020-05,12.272146721474776
2023.0,3.0,Industria nxjerrese,PEJË,SH.P.K.,3.0,0.0,,False,False,False,False,False,False,False,2023-03,0.0
2025.0,8.0,"Artet, Argetimi dhe rekreacioni",PRIZREN,SH.P.K.,5.0,10860.28,,False,False,False,False,False,False,False,2025-08,9.292959450262618
2021.0,1.0,Industria perpunuese,FERIZAJ,INDIVIDUAL,2.0,0.0,,False,False,False,False,False,False,False,2021-01,0.0
2019.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GRAÇANICË,SH.P.K.,3.0,1353875.73,,False,False,False,False,False,False,False,2019-11,14.118482686950903
2025.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,KLLOKOT,INDIVIDUAL,1.0,5125.0,,False,False,False,False,False,False,False,2025-06,8.542080906924017
2020.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,DEÇAN,INDIVIDUAL,2.0,4000.01,,False,False,False,False,False,False,False,2020-11,8.294302108229267
2024.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PEJË,INDIVIDUAL,21.0,523486.46,,False,False,False,False,False,False,False,2024-09,13.168268354851095
2025.0,11.0,Ndertimtaria,MITROVICË,SH.P.K.,56.0,3998813.6,,False,False,False,False,False,False,False,2025-11,15.201508525163826
2024.0,10.0,Bujqesia;Pylltaria dhe Peshkimi,OBILIQ,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2024-10,0.0
2021.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MALISHEVË,SH.P.K.,6.0,244797.17,,False,False,False,False,False,False,False,2021-02,12.40818935410217
2020.0,9.0,Bujqesia;Pylltaria dhe Peshkimi,FUSHË KOSOVË,SH.P.K.,4.0,46798.13,,False,False,False,False,False,False,False,2020-09,10.753619891989358
2019.0,11.0,Sherbimet administrative dhe mbeshtetese,PRISHTINË,SH.P.K.,2.0,113082.75,,False,False,False,False,False,False,False,2019-11,11.635883973620595
2020.0,3.0,Bujqesia;Pylltaria dhe Peshkimi,HANI I ELEZIT,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2020-03,0.0
2019.0,6.0,Aktivitetet e tjera sherbyese,MITROVICË VERIORE,INDIVIDUAL,1.0,800.0,,False,False,False,False,False,False,False,2019-06,6.68586094706836
2019.0,12.0,Industria perpunuese,NOVOBËRDË,SH.P.K.,1.0,3766.05,,False,False,False,False,False,False,False,2019-12,8.234047480765621
2024.0,10.0,Industria perpunuese,MITROVICË,INDIVIDUAL,1.0,167141.52,,False,False,False,False,False,False,False,2024-10,12.026602140622574
2019.0,4.0,Industria perpunuese,RAHOVEC,SH.P.K.,1.0,368.64,,False,False,False,False,False,False,False,2019-04,5.9125295590198395
2021.0,6.0,Industria perpunuese,PRIZREN,SH.P.K.,1.0,3598.78,,False,False,False,False,False,False,False,2021-06,8.188628011465731
2022.0,2.0,Industria perpunuese,GJAKOVË,SH.P.K.,1.0,12794.35,,False,False,False,False,False,False,False,2022-02,9.45683710265509
2021.0,10.0,"Aktivitetet profesionale, shkencore dhe teknike",RAHOVEC,INDIVIDUAL,2.0,22123.94,,False,False,False,False,False,False,False,2021-10,10.004460758008046
2021.0,5.0,Transporti dhe magazinimi,HANI I ELEZIT,SH.P.K.,1.0,47618.64,,False,False,False,False,False,False,False,2021-05,10.771000560163476
2019.0,10.0,"Aktivitetet profesionale, shkencore dhe teknike",PRISHTINË,INDIVIDUAL,3.0,2831.73,,False,False,False,False,False,False,False,2019-10,7.9489961899586365
2025.0,12.0,Industria perpunuese,GLLOGOC,SH.P.K.,1.0,43718.64,,False,False,False,False,False,False,False,2025-12,10.685552708038824
2019.0,4.0,Industria nxjerrese,RAHOVEC,INDIVIDUAL,2.0,0.0,,False,False,False,False,False,False,False,2019-04,0.0
2019.0,6.0,Ndertimtaria,SUHAREKË,ORTAKËRIA E PËRGJ.,1.0,0.0,,False,False,False,False,False,False,False,2019-06,0.0
2021.0,6.0,Aktivitetet e patundshmerise,FUSHË KOSOVË,SH.P.K.,5.0,58495.41,,False,False,False,False,False,False,False,2021-06,10.976720663815517
2020.0,1.0,Aktivitetet financiare dhe te sigurimit,VUSHTRRI,SH.P.K.,1.0,801.06,,False,False,False,False,False,False,False,2020-01,6.687183418035745
2019.0,4.0,Akomodimi dhe sherbimi ushqimor,SUHAREKË,ORTAKËRIA E PËRGJ.,1.0,6199.7,,False,False,False,False,False,False,False,2019-04,8.7324174678859
2024.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,INDIVIDUAL,6.0,33693.02,,False,False,False,False,False,False,False,2024-06,10.425075652523464
2023.0,12.0,Person Fizik,PRISHTINË,PERSON FIZIK,424.0,12091394.13,,False,False,False,False,False,False,False,2023-12,16.308004611301516
2025.0,10.0,Bujqesia;Pylltaria dhe Peshkimi,ISTOG,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2025-10,0.0
2020.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,SH.P.K.,5.0,1313942.2,,False,False,False,False,False,False,False,2020-03,14.088543250303957
2023.0,11.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,PRIZREN,INDIVIDUAL,2.0,4877.0,,False,False,False,False,False,False,False,2023-11,8.492490578775866
2019.0,8.0,Ndertimtaria,ISTOG,INDIVIDUAL,2.0,68070.0,,False,False,False,False,False,False,False,2019-08,11.128306557093602
2022.0,2.0,Industria perpunuese,MITROVICË VERIORE,SH.P.K.,1.0,7214.74,,False,False,False,False,False,False,False,2022-02,8.884020030051197
2024.0,12.0,Akomodimi dhe sherbimi ushqimor,DEÇAN,INDIVIDUAL,5.0,14710.8,,False,False,False,False,False,False,False,2024-12,9.596405171847
2025.0,3.0,Akomodimi dhe sherbimi ushqimor,GLLOGOC,SH.P.K.,4.0,79504.42,,False,False,False,False,False,False,False,2025-03,11.283580474419168
2019.0,12.0,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,GJAKOVË,OJQ,2.0,462217.91,,False,False,False,False,False,False,False,2019-12,13.043793889010168
2024.0,12.0,Transporti dhe magazinimi,GJILAN,SH.P.K.,2.0,6985.0,,False,False,False,False,False,False,False,2024-12,8.851663425366777
2022.0,7.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,VUSHTRRI,INDIVIDUAL,1.0,6000.0,,False,False,False,False,False,False,False,2022-07,8.699681400989514
2021.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GLLOGOC,INDIVIDUAL,2.0,593.22,,False,False,False,False,False,False,False,2021-11,6.38724962116284
2021.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,ORTAKËRIA E PËRGJ.,1.0,5246.9,,False,False,False,False,False,False,False,2021-08,8.565583275564329
2020.0,8.0,Industria perpunuese,PRISHTINË,SH.P.K.,5.0,311217.52,,False,False,False,False,False,False,False,2020-08,12.648250581083754
