year,month,primary_sector,turnover_eur,num_taxpayers
2022.0,2.0,Industria perpunuese,12794.35,1.0
2021.0,10.0,"Aktivitetet profesionale, shkencore dhe teknike",22123.94,2.0
2021.0,5.0,Transporti dhe magazinimi,47618.64,1.0
2019.0,10.0,"Aktivitetet profesionale, shkencore dhe teknike",2831.73,3.0
2025.0,12.0,Industria perpunuese,43718.64,1.0
2019.0,4.0,Industria nxjerrese,0.0,2.0
2019.0,6.0,Ndertimtaria,0.0,1.0
2021.0,6.0,Aktivitetet e patundshmerise,58495.41,5.0
2020.0,1.0,Aktivitetet financiare dhe te sigurimit,801.06,1.0
2019.0,4.0,Akomodimi dhe sherbimi ushqimor,6199.7,1.0
2024.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,33693.02,6.0
2023.0,12.0,Person Fizik,12091394.13,424.0
2025.0,10.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2020.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1313942.2,5.0
2023.0,11.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,4877.0,2.0
2019.0,8.0,Ndertimtaria,68070.0,2.0
2022.0,2.0,Industria perpunuese,7214.74,1.0
2024.0,12.0,Akomodimi dhe sherbimi ushqimor,14710.8,5.0
2025.0,3.0,Akomodimi dhe sherbimi ushqimor,79504.42,4.0
2019.0,12.0,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,462217.91,2.0
2024.0,12.0,Transporti dhe magazinimi,6985.0,2.0
2022.0,7.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,6000.0,1.0
2021.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,593.22,2.0
2021.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,5246.9,1.0
2020.0,8.0,Industria perpunuese,311217.52,5.0
2021.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,53686.78,2.0
2024.0,11.0,Industria perpunuese,15705.4,1.0
2022.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,9944.92,1.0
2022.0,1.0,Ndertimtaria,4237.29,2.0
2024.0,4.0,Industria perpunuese,721.26,1.0
2020.0,8.0,Transporti dhe magazinimi,26774.13,4.0
2019.0,9.0,Sherbimet administrative dhe mbeshtetese,2590.0,2.0
2022.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,863.12,2.0
2019.0,10.0,Industria perpunuese,4498.72,1.0
2023.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,102655.97,2.0
2019.0,6.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2024.0,2.0,Industria perpunuese,794866.07,3.0
2023.0,4.0,Informimi dhe komunikimi,0.0,5.0
2025.0,5.0,Akomodimi dhe sherbimi ushqimor,28808.49,9.0
2024.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,209608.4,5.0
2025.0,10.0,Industria perpunuese,1283.9,1.0
2024.0,6.0,Industria perpunuese,0.0,1.0
