year,month,municipality,turnover_eur,num_taxpayers
2021.0,4.0,PRISHTINË,262363.3,9.0
2025.0,12.0,GRAÇANICË,34124.47,1.0
2020.0,10.0,MITROVICË,9027.95,1.0
2019.0,9.0,OBILIQ,75780.17,1.0
2022.0,12.0,PRIZREN,26689.96,1.0
2022.0,8.0,VUSHTRRI,97192.91,6.0
2020.0,7.0,ISTOG,644.07,1.0
2025.0,9.0,PRIZREN,0.0,1.0
2020.0,9.0,PRISHTINË,0.0,1.0
2020.0,4.0,FUSHË KOSOVË,4726.21,1.0
2025.0,2.0,PRISHTINË,129176.8,13.0
2022.0,7.0,MITROVICË,22017.59,2.0
2022.0,9.0,PODUJEVË,31922.07,5.0
2021.0,9.0,PRISHTINË,2724.62,3.0
2021.0,8.0,SKENDERAJ,41974.88,1.0
2024.0,5.0,GLLOGOC,171830.25,3.0
2025.0,5.0,SUHAREKË,173462.71,4.0
2022.0,8.0,DRAGASH,0.0,2.0
2021.0,3.0,MITROVICË,1805.0,2.0
2022.0,8.0,FERIZAJ,1771.19,1.0
2023.0,6.0,VUSHTRRI,204778.12,6.0
2022.0,1.0,PRISHTINË,796.61,2.0
2023.0,2.0,SKENDERAJ,64567.52,1.0
2022.0,10.0,PODUJEVË,6410.0,1.0
2022.0,5.0,RAHOVEC,296.61,1.0
2021.0,9.0,PODUJEVË,86924.97,19.0
2025.0,6.0,KLINË,3377.0,1.0
2020.0,9.0,FERIZAJ,2250.0,1.0
2023.0,3.0,MITROVICË,809.0,1.0
2020.0,2.0,FUSHË KOSOVË,80583.74,4.0
2024.0,5.0,OBILIQ,4914.91,2.0
2021.0,6.0,GJILAN,196475.43,2.0
2020.0,10.0,GRAÇANICË,81778.75,4.0
2020.0,6.0,PRISHTINË,6048.48,2.0
2025.0,7.0,GJAKOVË,0.0,2.0
2020.0,9.0,ISTOG,5585.0,1.0
2025.0,3.0,RAHOVEC,354021.24,6.0
2024.0,5.0,FERIZAJ,102680.04,4.0
2024.0,12.0,VUSHTRRI,47817.05,9.0
2020.0,7.0,FUSHË KOSOVË,494.92,1.0
2020.0,8.0,MALISHEVË,5397.54,2.0
2023.0,9.0,FUSHË KOSOVË,21718.64,7.0
2019.0,7.0,OBILIQ,316150.2,2.0
2024.0,2.0,GLLOGOC,1552.97,1.0
2023.0,9.0,FUSHË KOSOVË,0.0,1.0
2019.0,3.0,PRISHTINË,0.0,6.0
2023.0,5.0,PEJË,0.0,1.0
2024.0,7.0,PRIZREN,748982.82,3.0
2020.0,10.0,RAHOVEC,8245.42,1.0
2020.0,8.0,DEÇAN,4407.64,2.0
2020.0,2.0,ZVEÇAN,0.0,1.0
2022.0,3.0,LIPJAN,0.0,2.0
2019.0,12.0,GJAKOVË,163063.57,7.0
2025.0,8.0,PEJË,12712.71,5.0
2019.0,6.0,FUSHË KOSOVË,10020.0,2.0
2023.0,7.0,OBILIQ,0.0,1.0
2023.0,3.0,VUSHTRRI,25106.45,8.0
2023.0,10.0,PEJË,331838.28,14.0
2020.0,2.0,OBILIQ,444.0,1.0
2025.0,1.0,SKENDERAJ,1432.2,1.0
2020.0,8.0,PODUJEVË,8857.23,2.0
2024.0,10.0,FERIZAJ,192340.68,1.0
2021.0,10.0,RAHOVEC,52652.91,3.0
2023.0,10.0,PRISHTINË,87568.47,9.0
2021.0,5.0,VITI,7413.03,1.0
2021.0,11.0,GJAKOVË,65358.53,2.0
2023.0,10.0,OBILIQ,0.0,3.0
2022.0,12.0,MITROVICË,1266.0,1.0
2019.0,1.0,PRISHTINË,26530.38,2.0
2023.0,11.0,GJAKOVË,1771.0,1.0
2021.0,8.0,PRIZREN,10097.1,1.0
2020.0,2.0,SUHAREKË,11414.35,3.0
2019.0,4.0,FERIZAJ,42032.8,7.0
2024.0,4.0,VITI,0.0,1.0
2024.0,10.0,PRIZREN,2780845.0,3.0
2020.0,7.0,OBILIQ,5606.85,1.0
2023.0,9.0,GRAÇANICË,190092.93,2.0
2024.0,4.0,RAHOVEC,367519.5,14.0
2022.0,10.0,ZVEÇAN,542310.48,2.0
2024.0,7.0,LIPJAN,50728.74,2.0
2024.0,2.0,MITROVICË,5557.88,1.0
2020.0,3.0,GJAKOVË,2150.0,3.0
2023.0,7.0,PEJË,19743.89,2.0
2023.0,2.0,GJAKOVË,76240.81,3.0
2023.0,2.0,PRIZREN,134123.05,9.0
2025.0,6.0,KLINË,1940.0,1.0
2025.0,12.0,PRIZREN,13283.7,4.0
2023.0,7.0,FUSHË KOSOVË,165.26,3.0
2021.0,4.0,PRISHTINË,26745.1,3.0
2024.0,3.0,DRAGASH,0.0,1.0
2024.0,6.0,SHTIME,18498.81,6.0
2020.0,6.0,KLINË,0.0,2.0
2022.0,8.0,LIPJAN,5971.42,3.0
2020.0,5.0,PRISHTINË,0.0,2.0
2022.0,12.0,PRISHTINË,53208.29,1.0
2022.0,3.0,PODUJEVË,31943.52,2.0
2025.0,8.0,KLLOKOT,50791.03,1.0
2024.0,8.0,RAHOVEC,1691.04,1.0
2024.0,11.0,PRIZREN,31231.27,1.0
2024.0,9.0,VUSHTRRI,4576.5,1.0
2020.0,8.0,VUSHTRRI,7293.55,1.0
2021.0,12.0,SKENDERAJ,10251.65,2.0
2023.0,6.0,GJILAN,0.0,1.0
2019.0,6.0,FERIZAJ,0.0,2.0
2020.0,4.0,ISTOG,17923.73,3.0
2022.0,7.0,SUHAREKË,51277.27,8.0
2020.0,11.0,FERIZAJ,32984.61,4.0
2019.0,9.0,PRISHTINË,0.0,2.0
2024.0,11.0,PRIZREN,42201.43,2.0
2022.0,9.0,KLINË,7757.2,1.0
2024.0,8.0,SHTIME,25425.45,2.0
2021.0,2.0,PRISHTINË,0.0,1.0
2024.0,1.0,PEJË,49171.89,4.0
2022.0,2.0,PRISHTINË,3403746.83,46.0
2025.0,12.0,MALISHEVË,26215.08,5.0
2024.0,1.0,SKENDERAJ,1560.0,1.0
2020.0,11.0,PRISHTINË,0.0,1.0
2021.0,4.0,PRISHTINË,30797.22,4.0
2019.0,6.0,SKENDERAJ,12823.75,8.0
2024.0,1.0,OBILIQ,131881.46,2.0
2019.0,10.0,ISTOG,0.0,2.0
2022.0,2.0,KLINË,985.0,2.0
2022.0,11.0,KLINË,0.0,1.0
2024.0,5.0,GJILAN,70621.43,4.0
2019.0,5.0,FUSHË KOSOVË,733.49,3.0
2019.0,10.0,FERIZAJ,1824.58,1.0
2023.0,2.0,DRAGASH,63791.7,1.0
2021.0,2.0,MALISHEVË,0.0,1.0
2021.0,1.0,FERIZAJ,102589.14,2.0
2019.0,10.0,PRISHTINË,10418.92,2.0
2024.0,2.0,SKENDERAJ,711.36,1.0
2025.0,1.0,PRISHTINË,81817.76,1.0
2020.0,3.0,LIPJAN,46153.3,2.0
2021.0,12.0,PRIZREN,105207.86,19.0
2020.0,6.0,MITROVICË,2927.37,2.0
2025.0,10.0,LIPJAN,15692.54,2.0
2021.0,10.0,PRIZREN,23714.96,4.0
2020.0,12.0,GJAKOVË,0.0,2.0
2024.0,11.0,PODUJEVË,0.0,1.0
2022.0,7.0,ISTOG,0.0,1.0
2022.0,10.0,PRISHTINË,0.0,1.0
2023.0,6.0,KAMENICË,0.0,1.0
2022.0,2.0,FUSHË KOSOVË,0.0,1.0
2022.0,4.0,SUHAREKË,4083.32,1.0
2024.0,4.0,FERIZAJ,22689.28,3.0
