year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2025.0,7.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,GRAÇANICË,SH.P.K.,1.0,46897.36,,False,False,False,False,False,False,False,2025-07,10.75573798580592
2024.0,6.0,Industria perpunuese,FERIZAJ,INDIVIDUAL,1.0,1024.58,,False,False,False,False,False,False,False,2024-06,6.933013585196232
2025.0,1.0,Industria perpunuese,FERIZAJ,ORTAKËRIA E PËRGJ.,1.0,40.25,,False,False,False,False,False,False,False,2025-01,3.71965111278069
2021.0,6.0,Industria perpunuese,PRIZREN,SH.P.K.,2.0,4191.88,,False,False,False,False,False,False,False,2021-06,8.34114312763411
2023.0,7.0,Aktivitetet e tjera sherbyese,FUSHË KOSOVË,SH.P.K.,1.0,914.4,,False,False,False,False,False,False,False,2023-07,6.819361128219541
2020.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRIZREN,NDËRMARRJE SHOQ.,2.0,0.0,,False,False,False,False,False,False,False,2020-07,0.0
2020.0,12.0,Industria perpunuese,GJILAN,SHOQËRI AKCIONARE,1.0,191313.87,,False,False,False,False,False,False,False,2020-12,12.161675883719498
2020.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,INDIVIDUAL,37.0,417483.54,,False,False,False,False,False,False,False,2020-05,12.942002792647305
2019.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,INDIVIDUAL,2.0,64143.4,,False,False,False,False,False,False,False,2019-04,11.068892070831916
2025.0,1.0,Ndertimtaria,GJILAN,SH.P.K.,8.0,38016.54,,False,False,False,False,False,False,False,2025-01,10.5458029111611
2021.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,SHOQËRI AKCIONARE,1.0,966.5,,False,False,False,False,False,False,False,2021-07,6.874715424903937
2022.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,SH.P.K.,20.0,457548.87,,False,False,False,False,False,False,False,2022-10,13.03364116322153
2022.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,SH.P.K.,15.0,133952.64,,False,False,False,False,False,False,False,2022-02,11.805249048922317
2020.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GLLOGOC,INDIVIDUAL,3.0,9617.43,,False,False,False,False,False,False,False,2020-09,9.17143632867771
2019.0,9.0,Industria perpunuese,VUSHTRRI,SH.P.K.,2.0,6735.96,,False,False,False,False,False,False,False,2019-09,8.81536406358219
2025.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GRAÇANICË,SH.P.K.,44.0,6086843.45,,False,False,False,False,False,False,False,2025-01,15.621640352689216
2025.0,12.0,Industria nxjerrese,PRIZREN,INDIVIDUAL,2.0,0.0,,False,False,False,False,False,False,False,2025-12,0.0
2024.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,VUSHTRRI,INDIVIDUAL,2.0,0.0,,False,False,False,False,False,False,False,2024-09,0.0
2024.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,OBILIQ,SH.P.K.,2.0,4253.99,,False,False,False,False,False,False,False,2024-08,8.35584769082845
2023.0,6.0,Aktivitetet e tjera sherbyese,MITROVICË,INDIVIDUAL,119.0,68494.58,,False,False,False,False,False,False,False,2023-06,11.134524496621008
2024.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,GLLOGOC,SH.P.K.,1.0,11923.22,,False,False,False,False,False,False,False,2024-02,9.38632690481226
2021.0,3.0,"Artet, Argetimi dhe rekreacioni",KAÇANIK,SH.P.K.,3.0,3144.99,,False,False,False,False,False,False,False,2021-03,8.05388390497363
2023.0,1.0,Bujqesia;Pylltaria dhe Peshkimi,FERIZAJ,SH.P.K.,1.0,0.0,,False,False,False,False,False,False,False,2023-01,0.0
2022.0,6.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,PRIZREN,SH.P.K.,6.0,9540.0,,False,False,False,False,False,False,False,2022-06,9.163353580751846
2025.0,5.0,Industria perpunuese,PEJË,SH.P.K.,3.0,224194.8,,False,False,False,False,False,False,False,2025-05,12.320275056170864
2020.0,6.0,Industria perpunuese,SUHAREKË,INDIVIDUAL,4.0,42265.9,,False,False,False,False,False,False,False,2020-06,10.651759552806649
2019.0,10.0,Industria perpunuese,RAHOVEC,SH.P.K.,1.0,354627.2,,False,False,False,False,False,False,False,2019-10,12.778825195686936
2025.0,8.0,Ndertimtaria,SUHAREKË,SH.P.K.,16.0,387180.49,,False,False,False,False,False,False,False,2025-08,12.86664882848981
2020.0,11.0,Sherbimet administrative dhe mbeshtetese,SUHAREKË,INDIVIDUAL,1.0,2624.58,,False,False,False,False,False,False,False,2020-11,7.873057103000294
2023.0,4.0,Ndertimtaria,LIPJAN,SH.P.K.,2.0,29027.02,,False,False,False,False,False,False,False,2023-04,10.27601684938773
2023.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,MITROVICË,SH.P.K.,9.0,121358.26,,False,False,False,False,False,False,False,2023-12,11.706510516442847
2025.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,SH.P.K.,7.0,476578.36,,False,False,False,False,False,False,False,2025-05,13.074389535952823
2020.0,7.0,Ndertimtaria,PRIZREN,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2020-07,0.0
2022.0,2.0,Transporti dhe magazinimi,PEJË,SH.P.K.,13.0,72994.13,,False,False,False,False,False,False,False,2022-02,11.198148005576394
2020.0,12.0,Industria perpunuese,GLLOGOC,INDIVIDUAL,9.0,71833.55,,False,False,False,False,False,False,False,2020-12,11.182120837069382
2024.0,12.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SKENDERAJ,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2024-12,0.0
2022.0,12.0,Informimi dhe komunikimi,KAÇANIK,SH.P.K.,1.0,500.0,,False,False,False,False,False,False,False,2022-12,6.2166061010848646
2024.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PODUJEVË,INDIVIDUAL,5.0,62440.02,,False,False,False,False,False,False,False,2024-10,11.041977710178198
2025.0,1.0,Transporti dhe magazinimi,PRISHTINË,SHOQËRI AKCIONARE,2.0,132134.98,,False,False,False,False,False,False,False,2025-01,11.79158682284171
2023.0,3.0,Ndertimtaria,OBILIQ,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2023-03,0.0
2025.0,11.0,Industria perpunuese,VUSHTRRI,SH.P.K.,5.0,516683.43,,False,False,False,False,False,False,False,2025-11,13.15518758028148
2022.0,8.0,Ndertimtaria,SUHAREKË,INDIVIDUAL,3.0,44746.46,,False,False,False,False,False,False,False,2022-08,10.708789962315567
2023.0,12.0,Bujqesia;Pylltaria dhe Peshkimi,ISTOG,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2023-12,0.0
2025.0,10.0,Bujqesia;Pylltaria dhe Peshkimi,VITI,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2025-10,0.0
2024.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRISHTINË,SH.P.K.,16.0,1758926.93,,False,False,False,False,False,False,False,2024-01,14.380215050737052
2021.0,7.0,Industria nxjerrese,GLLOGOC,SH.P.K.,3.0,820026.86,,False,False,False,False,False,False,False,2021-07,13.617093594273031
2025.0,11.0,Industria perpunuese,PEJË,INDIVIDUAL,2.0,14944.8,,False,False,False,False,False,False,False,2025-11,9.612185602893945
2023.0,12.0,Industria perpunuese,LIPJAN,SH.P.K.,1.0,14300.0,,False,False,False,False,False,False,False,2023-12,9.568084743872936
2020.0,5.0,Bujqesia;Pylltaria dhe Peshkimi,MALISHEVË,INDIVIDUAL,2.0,0.0,,False,False,False,False,False,False,False,2020-05,0.0
2020.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,FERIZAJ,SH.P.K.,6.0,0.0,,False,False,False,False,False,False,False,2020-09,0.0
2020.0,4.0,Informimi dhe komunikimi,PRISHTINË,PËRFAQËSUES FISKAL,1.0,0.0,,False,False,False,False,False,False,False,2020-04,0.0
2019.0,9.0,Industria perpunuese,PRISHTINË,SH.P.K.,2.0,4131.93,,False,False,False,False,False,False,False,2019-09,8.326741877518556
2021.0,9.0,"Aktivitetet profesionale, shkencore dhe teknike",GJAKOVË,SH.P.K.,2.0,10276.75,,False,False,False,False,False,False,False,2021-09,9.237736643457945
