year,month,registration_status,turnover_eur,num_taxpayers
2020.0,5.0,SH.P.K.,211278.18,3.0
2019.0,11.0,SH.P.K.,28270.83,1.0
2023.0,4.0,SH.P.K.,3331.38,1.0
2020.0,1.0,INDIVIDUAL,0.0,1.0
2022.0,1.0,INDIVIDUAL,3716.11,1.0
2024.0,3.0,SH.P.K.,56996.58,4.0
2024.0,10.0,INDIVIDUAL,172.88,2.0
2025.0,3.0,SH.P.K.,18600.0,2.0
2021.0,4.0,KOMPANI E HUAJ,262363.3,9.0
2025.0,12.0,INDIVIDUAL,34124.47,1.0
2020.0,10.0,SH.P.K.,9027.95,1.0
2019.0,9.0,ORTAKËRIA E PËRGJ.,75780.17,1.0
2022.0,12.0,SH.P.K.,26689.96,1.0
2022.0,8.0,INDIVIDUAL,97192.91,6.0
2020.0,7.0,SH.P.K.,644.07,1.0
2025.0,9.0,SH.P.K.,0.0,1.0
2020.0,9.0,SHOQËRI AKCIONARE,0.0,1.0
2020.0,4.0,INDIVIDUAL,4726.21,1.0
2025.0,2.0,INDIVIDUAL,129176.8,13.0
2022.0,7.0,INDIVIDUAL,22017.59,2.0
2022.0,9.0,SH.P.K.,31922.07,5.0
2021.0,9.0,INDIVIDUAL,2724.62,3.0
2021.0,8.0,INDIVIDUAL,41974.88,1.0
2024.0,5.0,SH.P.K.,171830.25,3.0
2025.0,5.0,SH.P.K.,173462.71,4.0
2022.0,8.0,INDIVIDUAL,0.0,2.0
2021.0,3.0,INDIVIDUAL,1805.0,2.0
2022.0,8.0,INDIVIDUAL,1771.19,1.0
2023.0,6.0,SH.P.K.,204778.12,6.0
2022.0,1.0,INDIVIDUAL,796.61,2.0
2023.0,2.0,INDIVIDUAL,64567.52,1.0
2022.0,10.0,INDIVIDUAL,6410.0,1.0
2022.0,5.0,INDIVIDUAL,296.61,1.0
2021.0,9.0,INDIVIDUAL,86924.97,19.0
2025.0,6.0,NDËRMARRJE SHOQ.,3377.0,1.0
2020.0,9.0,SH.P.K.,2250.0,1.0
2023.0,3.0,INDIVIDUAL,809.0,1.0
2020.0,2.0,SH.P.K.,80583.74,4.0
2024.0,5.0,SH.P.K.,4914.91,2.0
2021.0,6.0,SH.P.K.,196475.43,2.0
2020.0,10.0,INDIVIDUAL,81778.75,4.0
2020.0,6.0,SH.P.K.,6048.48,2.0
2025.0,7.0,SH.P.K.,0.0,2.0
2020.0,9.0,SH.P.K.,5585.0,1.0
2025.0,3.0,SH.P.K.,354021.24,6.0
2024.0,5.0,SH.P.K.,102680.04,4.0
2024.0,12.0,INDIVIDUAL,47817.05,9.0
2020.0,7.0,SH.P.K.,494.92,1.0
2020.0,8.0,SH.P.K.,5397.54,2.0
2023.0,9.0,SH.P.K.,21718.64,7.0
2019.0,7.0,SH.P.K.,316150.2,2.0
2024.0,2.0,SH.P.K.,1552.97,1.0
