primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,MITROVICË,LIPJAN,VITI,VUSHTRRI,OBILIQ,PODUJEVË,GLLOGOC,RAHOVEC,MALISHEVË,KLINË,ISTOG
Akomodimi dhe sherbimi ushqimor,0.2351064362018004,0.20875743698519153,0.12528655734817407,-0.026009156400868632,0.24335749168761645,0.16566239693557988,0.35732778655529335,0.09581411994233774,0.15386059229038537,1.416173060865491,0.09328536185197221,0.38618370520981543,0.7347257627493969,0.09470380592114365,0.05198241718426949,0.6873594270313078,0.055044833835863526,0.1958590377826477,4.749595404337732,0.08468595236840308
Aktivitetet e patundshmerise,0.770904299182138,4.919619687009621,1.1393873345486745,0.24927982461097795,0.5990230985836841,0.42486975683784695,0.18064436996864133,1.7971238684186905,-0.8070526330975463,-0.1063075643721244,3.2537001377258297,1.617084618382498,2.9606753364577036,5.0,-0.12965568169547811,0.21890806529702875,0.33778102745396077,-0.9829645124814106,0.8333333333333334,2.082422278486464
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.6219839209942861,-0.07038659621394044,0.1782680210647923,0.2810143797657954,0.09031420683984019,0.8251961666125367,0.2872334164096946,0.24233869630447816,0.05131648557630966,0.21127171374453532,0.15723336446929326,0.4291575921621876,0.47594599641423674,0.32002498368266313,0.0844693753101991,-0.032109172924424716,0.3470670103310858,0.31719364459042265,-0.04258107206732111,0.19689216376982888
Aktivitetet financiare dhe te sigurimit,0.07508034719788295,-0.43453850287361884,0.044181639389430406,-0.09181328264421307,0.16837294541209205,3.7333359750160784,5.0,0.07526452479798708,4.783913649800513,-0.5574034402153426,-0.5796850230740465,1.6549236473798583,2.949823655640541,5.0,0.0012320318968710997,-0.14093927448783056,-0.08965470691863292,1.1208717201831335,0.39501270512447884,0.2240265084123002
"Aktivitetet profesionale, shkencore dhe teknike",0.09180358909605389,1.2753254502343063,0.13393041389410923,0.4953966134918506,0.3235522959395408,0.17590582962222254,0.10717999047551113,0.2673100790661371,1.5480785370813652,-0.13002585963732574,0.4644378698177698,0.826584309850508,0.6088238754435394,2.7092226099217087,0.1803439706577646,0.9134579926301193,1.0090449347534303,0.011414517513256422,2.0131360811507317,0.8605756119426303
Bujqesia;Pylltaria dhe Peshkimi,0.023437176952528144,1.5979818403964645,-0.6904679145957879,0.018676979035055417,-0.06248255064818401,0.5276768111044062,0.7551603779705559,0.2439772645271158,-0.8893593834818309,0.2679442803051478,0.15005063885839418,3.515631827803267,0.11479492692067245,2.3005295361866698,0.5318812318632137,0.045321137982196065,0.536039148196254,0.4119373386860245,1.14991880154992,0.2567706430400997
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.39041033988840307,0.0,0.20488257893526016,0.056724937348719015,0.11329033547770125,0.37503071007280525,0.11380360729675582,0.4790954562197934,-0.3712961158586708,-1.0,0.0,0.4742901189662205,-0.30033849375499067,0.0,0.0,0.0,0.0,-0.8999597485936555,0.0,0.46046547107312846
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,0.17767537697557687,3.430227764729264,-0.3634994406186734,0.05825980318375529,0.5037472442647454,0.27029609522450554,0.09770832823343495,0.06669864933165418,-0.13543005767448466,0.11603549852661528,-0.12344478375807243,1.8802115870910339,1.125934294514458,1.3882229136848263,0.15028588251396646,0.22333850901611407,0.2756935746104428,-0.3530474053166221,-0.7724805339637419,0.047659235989578184
Industria nxjerrese,0.2505572748886982,0.0,0.3209829439012877,-0.04298993772730323,0.07785381510826062,0.44496263950427284,-0.9922610764296781,-0.31829085745319197,-0.05184713115923851,0.276944774540779,5.0,-0.0712546965583741,0.0,0.7657799074128395,0.2892993727684212,3.736324321463201,0.032927776819665376,-0.9460076924420235,1.1400348148948602,-0.25776511697255716
Industria perpunuese,0.32422808444080337,2.058187872624797,0.6187566449994458,0.37547483296248885,0.09763785773400661,0.27410998449397483,0.17296114244450003,0.6171655532784284,2.2654424096690167,0.38065670193659146,0.012293814346998694,0.370925120258673,0.30336715647222906,0.3261571407823113,-0.023351957446996936,0.08809267435265304,0.05634842282336544,0.232353597761481,0.3691589644605473,-0.002653229633827636
