mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
86.51320272684097,26.999657520743874,0.21009421348571777,0.15812726610925687,400,12,5,,16,balanced_subsample,"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 16, 'class_weight': 'balanced_subsample'}",0.5619125956201457,0.5522450302713748,0.49847875626886107,0.28974752644148755,0.47559597715046725,0.10998739039030907,1,0.9114755693470498,0.8893704324448976,0.8801021758853246,0.8929893806807097,0.8934843895894954,0.011401051156583065
119.57176500558853,62.97299620653286,0.5327322483062744,0.23594679848211286,400,12,5,,,balanced,"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': None, 'class_weight': 'balanced'}",0.5592934320336532,0.5477176841490502,0.49688019131670363,0.2911887161186167,0.4737700059045059,0.107995976295753,2,0.9288511259374608,0.9257063400505047,0.9273343209767013,0.941165735697025,0.9307643806654229,0.006107327862450542
46.563630759716034,13.279946226424522,0.09155386686325073,0.038034114863052054,200,8,5,,16,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 16, 'class_weight': 'balanced_subsample'}",0.5550531344214292,0.5500698436847239,0.4989348299002496,0.29022915069426697,0.4735717396751674,0.10810754932801656,3,0.9202899162624524,0.8989830885886816,0.8879372013786263,0.8987981200615588,0.9015020815728297,0.01173291780117272
124.35430163145065,60.80669666479376,0.2769343852996826,0.08255030469199354,500,4,5,,12,balanced_subsample,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 12, 'class_weight': 'balanced_subsample'}",0.5631601854698088,0.5540479560312862,0.48401864393462973,0.2771129476584022,0.46958493327353173,0.11526505030477878,4,0.8471923234102907,0.7783491885439674,0.7482565869866526,0.7836303565714392,0.7893571138780875,0.036014354574940746
28.859952747821808,15.320860359102758,0.25838953256607056,0.12405945863731337,300,4,5,sqrt,,balanced,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.5591626797317936,0.5432406343636639,0.4863585781637035,0.28861084376002566,0.46934318400479663,0.10779851278070572,5,0.9268573475569348,0.928108926992905,0.9292731972692447,0.9450102346388753,0.93231242661449,0.007380693399505002
35.03740072250366,16.447878786535686,0.35284823179244995,0.04198424374285556,400,12,3,sqrt,16,balanced_subsample,"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced_subsample'}",0.5556493164677286,0.5482531834687546,0.4864617396614035,0.2838952770739947,0.46856487916797035,0.10995122170219236,6,0.9202397584902227,0.8972471620148322,0.883676393737541,0.8921942975769851,0.8983394029548953,0.013542384596690594
26.22396618127823,12.960527515815432,0.19013506174087524,0.0992644532499714,300,12,2,log2,16,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced_subsample'}",0.5530475051042736,0.543518363777744,0.4883224431961901,0.2836464495438688,0.4671336904055191,0.10877997596768307,7,0.9299750235708067,0.9038979610859933,0.8878374303979832,0.8997325586205123,0.9053607434188239,0.015384614740901444
41.40224069356918,18.999628648016046,0.5548015832901001,0.06454918291648162,500,8,3,log2,16,balanced,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.5484925576640167,0.5378814240693971,0.48725368372064387,0.2843919634940202,0.4645049072370194,0.10653194119836831,8,0.9471357075267339,0.9227053727125778,0.9069772397054295,0.9128945721866696,0.9224282230328528,0.015331014204885382
44.43245321512222,24.02690160489953,0.6269224882125854,0.24822935943201907,500,12,1,log2,16,balanced_subsample,"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced_subsample'}",0.5435296583549789,0.5445412591664439,0.4848246066240338,0.28349699768051856,0.46409813045649384,0.10703599926569386,9,0.9422005042821936,0.9140122328554027,0.898110201905519,0.9071291468538853,0.9153630214742502,0.016488871911796654
20.380075573921204,9.656636131989352,0.08935302495956421,0.014842988762227026,300,4,5,log2,12,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced_subsample'}",0.5611519503417518,0.5540659598711288,0.4706294397041184,0.26793891407818454,0.46344656599879586,0.1183565083862853,10,0.8318561630535241,0.7776220125354625,0.7411994841632984,0.7715124975519879,0.7805475393260682,0.03267657800611911
