level,accuracy,f1_macro,kappa,stable_recall
A0,0.6416167664670659,0.43545462897986686,0.2440490188825607,0.048513302034428794
A1,0.7252994011976048,0.5084749282056501,0.43570567312416253,0.03129890453834116
A2,0.725748502994012,0.5087466076706891,0.43743797296440656,0.03129890453834116
A3,0.725,0.508483619678866,0.434954464720156,0.03286384976525822
A4,0.7258982035928143,0.5080745612714054,0.4374450689239119,0.0297339593114241
A5,0.7110778443113772,0.5433178230312569,0.438781013765458,0.12832550860719874
A6,0.7005988023952096,0.5390584742895311,0.4241406862234409,0.14241001564945227
