Model,MAE,RMSE,R²,MAPE
LinearRegression,0.7095980325623344,1.1318898752713418,0.2728183953113946,2.6576999937422463
RandomForestRegressor,0.5407918843411867,0.9162988383132425,0.5234496359104595,1.8634317062863854
XGBoostRegressor,0.5447227038597386,0.9239982944465153,0.5154072940082892,1.9408074562536635
