primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,MITROVICË,LIPJAN,VUSHTRRI,VITI,PODUJEVË,GLLOGOC,OBILIQ,RAHOVEC,MALISHEVË,ISTOG,SKENDERAJ
Akomodimi dhe sherbimi ushqimor,0.31537960104261065,0.6769256270387324,0.45559550681692706,0.3416458530655171,0.36001510978396517,0.4205283768532457,0.3689351316647134,0.3091570796157492,0.37159443365597805,0.7110671283729418,0.47137893699245326,0.3757395708969472,0.5686984538991156,0.4849655326247471,0.5422579604367774,0.3413685208752398,0.1974805427076426,0.3861620776087677,0.3337575637693704,0.6565976660764623
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.2779106721566169,0.14847316934579805,0.3923651680522236,0.2971192878718289,0.3172413114242683,1.0719371595991196,0.4443304873416612,0.3491009939976005,0.48129481865250967,0.38029775161958723,0.5054741755068012,0.48488137884233623,0.31594589074583396,0.49155532763274173,0.2342966623477286,0.22586435032619873,0.19708595113269076,0.5704754908037265,0.6183398715409839,0.8110983223961397
Aktivitetet e tjera sherbyese,0.11016268302329187,0.33980222007597505,0.27436398091137987,0.14908068229064758,0.39795462395326203,0.6862537023987492,0.5025821775677569,0.30039242817945944,0.47693982696030485,0.3740444528118425,0.48713403429002866,0.38958663837059904,0.4717530961290726,0.2421349262501192,0.18075159404792135,0.1456665849491715,0.18394887705325502,0.3975056129954761,0.17323177154755243,0.854016495421489
Aktivitetet financiare dhe te sigurimit,0.1157972190905745,0.3630830808636972,0.41388535803586163,0.19381640640376988,0.17215590839660452,0.6964292879264674,1.2533124422121822,0.15882208642234938,0.7443004900460201,0.018452350013543988,0.6612704163630451,1.3832752501252337,0.9659021087438289,-0.07122721594594605,0.1822655182399901,2.0,0.47964143333872805,0.3003493870688548,0.3087952978212138,0.0874206446329923
"Aktivitetet profesionale, shkencore dhe teknike",0.1668676474872129,0.40975143893038424,0.20469176903561825,0.2266367899567165,0.23490423549664585,0.14286564127564647,0.27949374587156345,0.44589138653479377,0.5498347011717393,0.31291025389374055,0.4805270908494241,0.4991396622644035,0.546297333346255,0.3054173357730534,0.38259148302337115,1.0339272298729703,0.32132222694198753,0.5659936039902687,0.6343900714355238,0.781328266294406
Bujqesia;Pylltaria dhe Peshkimi,0.23930915752491316,0.5088819044397749,0.22354063992222672,0.28298737338491115,0.1564021739000397,0.25913093257520164,0.20594249940407033,0.23767855589302794,1.0136743043137366,0.720754037152581,0.2364239788926198,0.15680740054311795,0.7729784044777445,0.42436255187703686,0.14741436587819612,0.9896405831570725,0.44298609320933235,0.2331187975994471,0.15894926962099942,0.943775625824335
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.17933437281783451,0.0,0.763006019438844,0.6473281692769873,0.4739893185104963,0.652581327274026,0.1350526037605576,0.3270085585232923,0.2179066669678162,-0.8940617912538724,0.0,-0.30033849375499067,0.33132228387590007,-1.0,-1.0,0.0,-1.0,-0.16442035513884343,0.32272846470244076,0.0
Industria nxjerrese,0.2535870645957494,0.0,0.2667762350489482,0.30328897175297387,0.3259890129065482,-0.05618203539875762,0.4365803532310738,0.19727295330968295,0.16003990541410423,0.16077705088819125,1.5504075366651136,0.0,0.669114988763356,0.27400735825454964,0.6442281254458616,0.46367171793780243,0.25048931185397166,0.22031387050526408,0.9603416049445322,0.3549060790555146
Industria perpunuese,0.1918831257630107,0.3857810892466769,0.18488326707451697,0.1666623858212359,0.1473839661491591,0.20443317752916512,0.15509448591113167,0.36420757906967965,0.43343922698886306,0.2331591672651989,0.12450724912774794,0.2641668617559091,0.1557697155857406,0.1654695917525535,0.1626595068126629,0.23370852241951245,0.07516061683808431,0.18854924771069662,0.10832673331976433,0.32876875570120023
Informimi dhe komunikimi,0.16185427889784754,0.37906072884616887,0.21164200382236475,0.1883039898346038,0.15025418067369367,0.16055907287523372,0.198065551748146,0.2407048400958723,0.434174444831128,0.004886824865524657,0.3448136569665211,0.10010345671985442,0.5281690320994888,0.6862766287906443,0.548935697998988,0.7451074144854678,0.41173865279629657,0.7165564173887067,0.7832171075664235,0.22292258381136099
