primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,LIPJAN,MITROVICË,VUSHTRRI,VITI,PODUJEVË,OBILIQ,MALISHEVË,RAHOVEC,GLLOGOC,ISTOG,KLINË
Akomodimi dhe sherbimi ushqimor,0.07135840646052231,0.09887177442936664,-0.0005946153162896076,0.0491976290656396,0.07991132662657184,0.18221478396595805,0.026292441333395894,0.3073526121749383,-0.007937631456877528,0.11811336284446472,0.22381087190807214,0.17935203544956665,0.013737665638328336,0.4310435870008051,0.17307481619731757,0.1762880636547166,0.33708430008914597,-0.40501240115303844,0.11492010375138188,-0.2880090460761326
Aktivitetet e shendetit te njeriut dhe te punes sociale,-0.14145317823924372,0.1049609902697754,0.28371338221880793,0.09050001380382032,0.33320567972597076,0.9231262044557637,0.517793049030339,0.10668586267919182,0.31758946181951325,0.36407055105253844,0.24470226320940255,0.335785553236325,0.015463110856445335,0.2911331033742491,0.0874211687780392,0.3333090392683951,0.5693684411444492,0.1451721492152829,0.15049046136944735,0.0035964257694033447
Aktivitetet e tjera sherbyese,0.14990636627645815,0.4720088984415676,0.17438347114044586,0.2256542196849007,0.6357452578190025,1.6561318270445033,1.2557593019525488,0.37308392231149606,0.420775850682845,0.6790188210221664,0.3908840666482483,0.39405700258956133,0.21794346543440005,-0.026217236216058787,0.11275392209837448,0.7459225096720742,-0.28331104255838513,0.6616401804304722,-0.21990039619753962,-0.011698905635434744
Aktivitetet financiare dhe te sigurimit,0.15091263445135725,0.5407790841385404,0.7095802348653962,-0.20127555590221105,0.1884015284876651,-0.6113416727275999,0.4796468798569356,0.15280349662476106,-0.9218044745419599,0.024829768176192948,0.19187807614014343,0.0041312425492467525,2.3812539733454554,-0.29472528744733395,0.0,0.13354991636608196,0.05162868601729286,0.15251236801985454,0.27245015100189396,-0.02836292978448013
"Aktivitetet profesionale, shkencore dhe teknike",0.0714127418458126,0.022066662497599282,0.1193776906805268,0.002429284292020087,0.4363017769414435,0.3671271518967468,0.06422210818882486,0.6281614373440333,0.09481935178524337,0.24384320838289755,0.29167064803928866,0.3248781882532933,0.9312289079804804,0.258784849268259,-0.21114124720375224,0.5927460903417638,-0.4677485544610411,0.43018070944492665,0.0858599185720594,-0.09282470404708026
Bujqesia;Pylltaria dhe Peshkimi,0.3661767292727222,0.7543427755562945,-0.044587429392038115,0.030915630612966424,-0.034899889420448686,0.2923187354324079,-0.3766544189605881,-0.025421990949350052,0.3880155475315868,0.4376663127957258,0.3673124360567988,0.03165369315223876,-0.7388726907088663,0.008296874926571532,-0.7549770867298721,-0.2120725295772183,0.5209763024364288,-0.0963659001373225,0.024510126166930764,-0.2769851458060104
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",-0.09694467102603531,0.0,-0.06284445685093133,-0.14291982337291823,0.05764439910287558,0.5034492236810446,-0.04786756266549066,0.38778181742417045,-0.07281528281685468,0.0,-1.0,0.0,0.19381180297108316,0.0,0.0,0.5072167748086216,0.0,-1.0,-0.8075106438874174,0.0
Industria nxjerrese,-0.25785646418625824,0.0,0.29604691888106494,0.5747087440842338,0.21647063773427755,-0.9354898904637088,1.8358347328103475,0.22161408001329638,-0.10698174551771715,0.730424142787957,0.5016961127569897,0.0,0.35642230096925437,0.053156279677507176,0.5049703902763906,0.48662868505265106,0.2872688913480929,-0.7140714902132687,0.5061104799370147,-0.5714624756919082
Industria perpunuese,0.04016492838034565,-0.4571268927674259,-0.10073972516556386,-0.10305659470001527,0.17505410767937724,0.09204041582318005,0.003779691500964792,-0.46315928141199597,-0.5475100489526347,0.03728607944005336,0.034562257757395264,0.047727015523616856,-0.06600254425785268,0.15548651626877694,0.12801042173595323,0.07551482011512262,0.01908329099996329,0.01332924978396304,0.14185243056443494,0.08440454882565314
Informimi dhe komunikimi,0.011417115664640128,0.20318406020494653,0.22348377425930757,0.20569605518346032,0.024959210103601845,0.19240341692792293,0.11919136883062438,0.40401788524690274,0.0859771648731741,0.10118025771456506,0.21575786832762064,0.03513303577118446,0.19989423660648917,0.22447991009381787,0.5126982789841246,-0.1623364791975925,0.3648469555500573,0.17347915211213547,0.28614625841245783,-0.6050615022124496
