,precision,recall,f1-score,support
DECLINING,0.7345860246623606,0.5824022346368715,0.649701376265905,2148.0
GROWING,0.7391763463569165,0.7192396609298741,0.7290717354511131,3893.0
STABLE,0.15391084945332212,0.2863849765258216,0.20021881838074398,639.0
accuracy,0.6338323353293414,0.6338323353293414,0.6338323353293414,0.6338323353293414
macro avg,0.5425577401575331,0.5293422906975224,0.5263306433659207,6680.0
weighted avg,0.6817145703806736,0.6338323353293414,0.6529602765382698,6680.0
