,precision,recall,f1-score,support
DECLINING,0.6817957572767637,0.6433891992551211,0.6620359281437126,2148.0
GROWING,0.7306912857464535,0.8335473927562291,0.7787377009839213,3893.0
STABLE,0.2169811320754717,0.07198748043818466,0.10810810810810811,639.0
accuracy,0.6995508982035928,0.6995508982035928,0.6995508982035928,0.6995508982035928
macro avg,0.5431560583662296,0.5163080241498449,0.516293912411914,6680.0
weighted avg,0.6658277553050388,0.6995508982035928,0.6770598989018235,6680.0
