Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro),Kappa,Stable Recall
RandomForest,0.6995508982035928,0.5431560583662296,0.5163080241498449,0.516293912411914,0.41311995212072716,0.07198748043818466
XGBoost,0.6338323353293414,0.5425577401575331,0.5293422906975224,0.5263306433659207,0.35818432163751446,0.2863849765258216
