mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
20.23616999387741,7.267832310779817,0.9406877756118774,0.13137428597646353,0.6,5.0,0.01,700,3,8,0.08,0.0,1.0,"{'subsample': 0.6, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.08, 'gamma': 0.0, 'colsample_bytree': 1.0}",0.5056993166538354,0.5327297257995521,0.4640666100253537,0.3085339168490153,0.4527573923319391,0.086785267696152,1,0.9999107698168687,0.9976708603832184,0.9873734950941709,0.9860297165904016,0.9927462104711648,0.006114745455595792
10.15891444683075,2.7949054109092413,0.4245970845222473,0.15796880159212762,0.7,0.5,0.0,500,3,8,0.1,0.0,0.7,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.7}",0.5206854130742797,0.5358325118787931,0.44651283410591064,0.30506116770999553,0.4520229816922447,0.0913327752353434,2,1.0,0.9986018827050324,0.9895633689493519,0.9880601559525006,0.9940563519017213,0.005294574219702513
9.230792760848999,3.3632382676670027,0.4800184965133667,0.05458082947671751,0.6,5.0,1.0,500,7,6,0.1,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.5090443097051073,0.5350255357302444,0.3896284999456818,0.2903493645015009,0.4310119274706336,0.09798779015153998,3,0.9171990933388501,0.8470364126302578,0.7889466663350388,0.879128443422965,0.8580776539317779,0.047009261830370366
7.843884706497192,2.7868353608139285,0.4314942955970764,0.08418267627735304,0.6,5.0,0.1,300,5,8,0.08,0.0,0.7,"{'subsample': 0.6, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.08, 'gamma': 0.0, 'colsample_bytree': 0.7}",0.5079671331759105,0.5369462639328116,0.38525113868617805,0.2861694112582069,0.4290834867632768,0.10025307487241839,4,0.9099174894979593,0.8481645057394775,0.7890276926240394,0.8897529204503417,0.8592156520779545,0.04623764311983976
5.903093159198761,1.9708794906515958,0.22844302654266357,0.05475785707227515,0.9,0.5,1.0,300,7,8,0.08,0.4,1.0,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.08, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.5142815566297818,0.5310491073095862,0.37954740721279806,0.2896510536643631,0.42863228120413227,0.09943604868665565,5,0.8141890886427489,0.808947965430279,0.7744358103598586,0.9010379007692424,0.8246526913005322,0.04667054947241431
6.059788525104523,2.3843165165456464,0.3366590142250061,0.017767867249930926,0.8,1.0,0.0,400,7,6,0.1,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.5227726814441348,0.5357476991014881,0.3647121698631722,0.2819960392592109,0.4263071474170015,0.10712430957272381,6,0.9079979674019732,0.8200309366260609,0.752666049177544,0.8639182793254654,0.8361533081327609,0.05736419170897562
6.43986052274704,2.1806259094696423,0.4663984179496765,0.06214369960350825,0.9,1.0,0.01,500,7,6,0.08,0.2,0.6,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.5127084616931626,0.539093389405919,0.3551738546969123,0.279900223184981,0.42171898224524373,0.10793128745681184,7,0.8979796795499393,0.8112793102976635,0.7434076498148431,0.8613901511968494,0.8285141977148238,0.05797940868030427
7.269308984279633,2.522226431422187,0.4166792631149292,0.04479461597198755,0.7,1.0,0.0,300,3,8,0.03,0.1,0.6,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.5171981714394257,0.5329612795194888,0.3302044240395837,0.24840869832706278,0.40719314333139023,0.12150976623589012,8,0.7851817493451798,0.7164814564214549,0.673851970062293,0.8124685498091925,0.74699593140953,0.054831543651639
7.142207562923431,2.77080061941065,0.45416200160980225,0.049363379326135715,0.9,5.0,0.1,700,7,4,0.05,0.2,0.7,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.5252811747324531,0.5302066698784663,0.310340855085357,0.24079026623298397,0.40165474148231506,0.12847635827135595,9,0.6567954643358783,0.6325549899640398,0.6039069069445439,0.7381465677023041,0.6578509822366916,0.04999586394764918
7.726686477661133,2.606175746087328,0.44781655073165894,0.057161422180067895,0.8,2.0,0.0,700,3,5,0.03,0.4,0.6,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.5178667250580199,0.5329316962107913,0.31157479371704777,0.23977201371781867,0.4005363071759195,0.12752869767826644,10,0.6945910403411859,0.6482720856498724,0.6158685386258814,0.7498270751091818,0.6771396849315304,0.0504368371192298
2.9174649119377136,0.9766859254425695,0.14193826913833618,0.030806938050421093,0.7,0.5,0.0,200,1,5,0.08,0.4,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.08, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.5158411947716817,0.5236551833840606,0.3119667107974345,0.2319289702156964,0.39584801479221826,0.12712057457370207,11,0.7059188837875471,0.6548210267974351,0.6118386832627014,0.7369719200578378,0.6773876284763803,0.047880674762520795
5.672476947307587,2.047094248626586,0.27922362089157104,0.047362693383293526,0.9,0.5,0.0,200,5,8,0.03,0.0,0.7,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.0, 'colsample_bytree': 0.7}",0.5179264285106567,0.5246378778989218,0.3142855159569817,0.22192028985507248,0.3946925280554082,0.1307554225020107,12,0.6958004572854645,0.6670731007570402,0.6322043698478563,0.7646720436532973,0.6899374928859145,0.048671144821915285
