primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,MITROVICË,LIPJAN,VITI,VUSHTRRI,OBILIQ,PODUJEVË,GLLOGOC,RAHOVEC,MALISHEVË,ISTOG,KLINË
Akomodimi dhe sherbimi ushqimor,0.2286991823593447,0.19461778231560298,0.09697868168096364,-0.03954324030202857,0.2290973328803613,0.1326236021323351,0.323850849670716,0.09539787800290692,0.10183966561693035,1.3656186028256025,0.08104385898624335,0.1736206393720944,0.587561988994789,0.07933774957569514,0.0336369181964468,0.6014981279603036,0.04042201155093105,0.06845918186671263,0.0516177514159179,5.0
Aktivitetet e patundshmerise,0.6404698556063801,5.0,0.9991327476018633,0.22666101307216668,-0.3870559904980983,-0.09886941448955795,0.05418939491905172,1.7046428411089773,-0.8376608150004293,-0.3496956959670704,1.48224091869888,5.0,3.658723952350467,5.0,-0.058140951327706004,0.05494880546075085,0.15361262902246509,-0.9851514311680691,0.6264722955273825,1.5416666666666667
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.5954487729773592,-0.09681403330976275,0.12021621174858432,0.12499173737485253,0.04775147337109002,0.4380371864290016,0.1422898360388751,0.21716639552013542,0.030164922409991985,0.0729850873079587,0.07653094105999514,0.4082750246610614,0.13571703030592697,0.20354074640453498,0.07678972843977319,-0.07140969371078075,-0.006031057863460018,0.004128985997055449,0.19425397035557898,-0.05477442585812248
Aktivitetet financiare dhe te sigurimit,0.07534383050629051,-0.5005846988309443,-0.15968589620559398,-0.2220037967180049,0.1647691890368389,0.6860696757649201,5.0,0.03440840672115218,5.0,-0.6629895651623373,-0.707182582561503,-0.1398791732233545,1.2135267034722148,0.0,-0.26710928519391197,-0.8019217183930993,-0.05681853244487488,-0.08867506648575821,0.18979195233563997,0.16386242878216725
"Aktivitetet profesionale, shkencore dhe teknike",0.009766931418027822,1.260645338448369,0.0659001044450468,0.3471078426737083,0.21982883518591395,0.15028645123694137,0.08109919362406601,0.21826820319731058,1.4398408191306737,-0.22132210819803713,0.38581629724110256,0.6513683325385811,0.468632455058673,5.0,-0.014755983429234521,0.4476567933526233,0.7061344897027108,-0.22659774061133617,0.43583050361305226,1.4604721075333638
Bujqesia;Pylltaria dhe Peshkimi,-0.05871968356275401,0.9715909050121745,-0.7114956753570366,-0.16468148370819877,-0.05250382812415307,0.35037170273165863,0.7646128407714886,0.23807579870675066,-0.903968481338988,0.20905820312039325,-0.015081049407284155,3.0979198994761736,0.1014794131909182,1.4175131218544652,0.47856058444741434,0.10612350618352533,0.35898793882687163,0.27167381662861484,0.22693006545902464,0.8059600548951323
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.3332586474655424,0.0,0.12167027529282422,-0.15782230002522288,0.13153074096229128,-0.3342361855429756,0.050952540174756755,0.43546153089494677,-0.9067873725571809,-1.0,0.0,0.216015451734134,1.4995186383884014,0.0,0.0,0.0,0.0,-0.6570874128245237,0.25003362498336257,0.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,0.16570557469604932,1.9698863590721607,-0.3718466016977619,0.05700242768877604,0.6993795781671496,0.18637747288821466,0.10272486446812576,0.05031321899521488,-0.14422659617016945,0.10925912984127358,-0.13145522434084522,-0.09393151904464249,1.225361660366439,0.3859015264990337,-0.08566726253842177,0.04470897501743344,0.16843325714804666,-0.46091466569506806,0.3652967780539754,-0.7544166386832952
Industria nxjerrese,-0.07481726512017567,0.0,0.2561587577762082,-0.02968122716271081,-0.15539489755842598,3.7239099731228786,-0.9907942372626656,-0.3544889084621659,-0.033267545766105376,0.258198931914545,5.0,-0.060016531307650264,0.0,0.9371223928973176,0.060282913804650194,3.7193926548051652,-0.18578769917609553,-0.9519685959101554,-0.801154095254888,0.7429641950527389
Industria perpunuese,0.2755431719026939,2.0493114263217658,0.597683168860738,0.36772613877777444,0.09069733645184606,0.2670642462038827,0.16949526239008408,0.5521555575959226,2.135026151169795,0.38359684529729293,0.007653018053731332,0.37714950748972814,0.25577656354840883,0.3107878136043337,-0.022743031573774965,0.06583221712888924,0.056560470403056874,0.1658816242622434,-0.02143852033413036,0.3786511481007789
