Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
RandomForest,0.5896464646464646,0.47438056122566374,0.4709861180244455,0.46853727290639585
XGBoost,0.625,0.48219122426868904,0.43839460777754585,0.4341540911276991
