,precision,recall,f1-score,support
DECLINING,0.48484848484848486,0.5877551020408164,0.5313653136531366,245.0
GROWING,0.7061503416856492,0.6666666666666666,0.6858407079646017,465.0
STABLE,0.23214285714285715,0.15853658536585366,0.18840579710144928,82.0
accuracy,0.5896464646464646,0.5896464646464646,0.5896464646464646,0.5896464646464646
macro avg,0.47438056122566374,0.4709861180244455,0.46853727290639585,792.0
weighted avg,0.5886155327745202,0.5896464646464646,0.5865526596096933,792.0
