municipality,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
FERIZAJ,0.08968744378115655,0.5195274616462385,0.16025090552089263,0.17235059752589102,0.051800873404023215,-0.03633537638620294
FUSHË KOSOVË,0.13360186531543014,0.6324171098379477,0.39513092755587514,0.10902699243367979,0.456226436381938,0.24491792369024604
GJAKOVË,-0.010182573143586489,0.5153013340018489,0.22680908854490295,0.05258463350187632,0.04478267130901683,0.06530821391910575
GJILAN,-0.061266226975272974,0.6473433398859382,0.19370569903277854,0.10785496949985025,0.31349842873680384,0.31252127903833293
GLLOGOC,-0.09722569538482692,0.3366549698446817,0.2543805595317976,0.09021190883892576,0.026507410201690385,0.39263831766757307
GRAÇANICË,0.31796892733977977,1.0108704785020723,0.23134541795068486,0.13969175635921355,-0.1258436759917904,0.961396539871125
ISTOG,0.13937369910939315,0.406792383503985,0.6894465874773891,0.4944166982736667,0.2285412496027914,0.01638187771041267
LIPJAN,-0.005876275223885452,0.5159515270514015,0.4505247962830548,0.2627759160110295,0.22697004502408388,0.30289039874344503
MALISHEVË,0.06056185088214552,0.8861072766299127,0.11801038690890342,0.5492151325998254,0.18694385334580949,0.030863919270096664
MITROVICË,-0.12555756158434442,0.3550990955484069,0.23938015239223986,0.06675357081164467,0.091771337447519,-0.08793099859977702
OBILIQ,0.09859309592660928,0.3384403277468898,0.24733405528341626,0.3041430588819206,0.27089561026025144,0.8326918147970911
PEJË,-0.1935519056474638,0.4842897754351628,0.030775973566242197,0.10914959358866322,0.1405160224761075,0.038484659299228736
PODUJEVË,0.07116094303765744,0.5621595288658127,0.06784603570590561,0.2802228590121834,0.3585545783111551,-0.0033399238252653754
PRISHTINË,-0.10016175201957775,0.4100638394070712,0.28055927245792556,0.017756754164786427,0.02754113073073992,0.03312436488673349
PRIZREN,-0.18635647265284316,0.62267820428552,0.2504139741791524,0.2064542938179169,0.08385073458849217,-0.05073275828260333
RAHOVEC,0.031211838322446596,0.1960203501277496,0.3569997144158325,0.29230412318046006,0.4055389402202815,0.0693348101359526
SKENDERAJ,0.20961955397203666,0.4211857648328265,0.2660085640166318,0.4480633573274987,0.5393091082945215,-0.02837650137327715
SUHAREKË,-0.04509319072604042,0.562527048020965,0.3308876457203116,0.49363229632517625,0.022997015561181687,0.3249957956719768
VITI,0.01843754390306938,0.46042052955463053,0.18980318005043517,0.11646011326234358,-0.00988675371626364,0.48557538737005357
VUSHTRRI,0.030672768239020574,0.6652377968094046,0.3156631167665985,0.2592210023084239,0.39117939475453434,0.4809870002196933
