primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,LIPJAN,MITROVICË,VUSHTRRI,VITI,PODUJEVË,OBILIQ,MALISHEVË,RAHOVEC,GLLOGOC,ISTOG,KLINË
Akomodimi dhe sherbimi ushqimor,0.06120909587586851,0.08248189086090138,-0.0016362673292367597,0.04443472682653022,0.05758670115979888,0.19175087449120715,0.03680202176891242,0.2487799914218511,-0.00023850886256672292,0.12200808729641571,0.1881558880698244,0.1679118641492158,0.03101875705834786,0.34243696952383357,0.15758955043917783,0.16586879093054901,0.2579138388230128,-0.40176960519683774,0.10364014399441784,-0.3186680949795213
Aktivitetet e shendetit te njeriut dhe te punes sociale,-0.14063309350326247,0.09834606534992742,0.25858325991624737,0.13569171172809347,0.27446562373148825,0.7326454209264415,0.44714863052701725,0.1003409858229669,0.3016229182058707,0.3642181638677565,0.26233105084339664,0.18147790556647908,-0.02450613033751701,0.21882530486281712,0.04307271408626936,0.15684235025451548,0.24557140951362558,0.14568294052988404,0.11413498461836785,0.005068347588869947
Aktivitetet e tjera sherbyese,0.3346734919097978,0.1887588631242955,0.23787907743841916,0.2172530708294946,0.5111744385791395,-0.06162508824161317,0.7184945642110976,0.21204462521574752,0.3190137187393141,-0.033752882635859564,-0.12191513322099523,0.2628881215488427,0.09721328759204184,0.03656672375485427,0.11599556393621019,0.14813973859153998,-0.23465685436708097,0.46097202970664436,-0.24192019179522609,0.00044395419981001867
Aktivitetet financiare dhe te sigurimit,0.13065812323227782,0.37849362943950365,0.3887447558812738,-0.20804596259678507,0.18580700862885688,-0.4423842483379268,0.33220694955836755,-0.07623575505951209,-0.9135717648459415,-0.512166720135051,0.13296691880446487,-0.10476347075364098,0.6847492455036646,0.1460770375393193,-1.0,0.38286665534982356,0.10989730317274955,0.04050481076795677,0.29441678047529735,-0.41632579350187077
"Aktivitetet profesionale, shkencore dhe teknike",0.08927836628728043,-0.03844191104644251,0.10029566957434044,-0.02966721123324524,0.3575840611195642,0.34572651931177356,0.056646833596640606,0.2832737065744782,-0.060823376469587964,0.14443426115153465,0.29657213694736145,0.0857583087781228,0.669119777744547,0.2466912529468233,-0.6920882119343227,0.16889414154161245,-0.4954417496821674,0.33415349810958456,-0.37907464075517616,-0.05532510522175917
Bujqesia;Pylltaria dhe Peshkimi,0.3424794890034369,0.35350016286280994,-0.40585043843084706,-0.02018608875847952,-0.05236944022283952,0.2192702369370719,-0.45714472715786897,-0.02447143720415061,0.32960397108292155,0.3484788322312865,0.2667492654989176,0.03171539092161902,-0.6200381761091572,-0.04531545669041879,-0.7701261717873323,-0.3178950121777582,0.2627367535838386,-0.19691021446420384,0.024395643963403886,-0.3750485994110107
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",-0.09669723270458906,0.0,-0.20190808635533233,-0.23241514324149362,0.032585804593500814,-0.35261736019073653,-0.06340796261699196,0.17588649170008452,-0.09945452757537601,0.0,0.18369793227449804,0.0,-0.11032431652734288,0.0,0.0,0.7994542692942231,0.0,-1.0,-0.7546614850618678,0.0
Industria nxjerrese,-0.16633315283356034,0.0,0.2708663994602117,0.4350689773989724,-0.12975664936518974,0.2897306332983093,-0.04589405130948289,0.08250068504272363,-0.10196847364920399,0.15760501222761147,0.01991519128348612,0.0,0.16609045221056698,-0.01866054821370579,-0.3296840406609405,0.43625509381645267,0.29553442372869343,-0.7660853325629752,0.23217578386766832,-0.5695737192892706
Industria perpunuese,0.04694518709464096,-0.4581772146425225,-0.11094646594151879,-0.1054632799268916,0.1805568689815078,0.08145069416195828,-0.0032532174024137417,-0.4571562568209096,-0.5521757855243412,0.028861220378557303,0.004320109132266207,0.0556124511026505,-0.0725645524183791,0.11405507723686598,0.1268904120297941,0.0783844802491343,0.015430795764078369,-0.008171261696689741,0.1301110845986116,0.0126909151764245
Informimi dhe komunikimi,0.009991321826322123,0.1607086644835882,0.2148420405253583,0.19223872448857585,0.02121175547199106,0.10002815994736829,0.12289046139863682,0.33759151950309446,-0.037481095546152816,0.1180365234086921,0.19691958127707493,0.025564725319522124,0.043760507220588406,0.11662628205426713,0.501804278933595,-0.23356650062999873,0.33851336192345177,-0.007983405980810581,0.08803227572204118,-0.47568579570637787
