primary_sector,PRISHTINË,GRAÇANICË,FERIZAJ,PRIZREN,PEJË,FUSHË KOSOVË,GJILAN,GJAKOVË,SUHAREKË,LIPJAN,MITROVICË,VUSHTRRI,VITI,PODUJEVË,GLLOGOC,OBILIQ,RAHOVEC,MALISHEVË,SKENDERAJ,ISTOG
Akomodimi dhe sherbimi ushqimor,0.17068290326876703,0.05355089246492761,-0.10296815987822171,0.08822059504419268,0.16230950694964322,0.09340935706303789,0.18496613350337632,0.14055074402137419,0.15785430379024384,0.18823671289758584,0.15862314684742915,0.13558254598517228,0.03627077634050023,0.32547525155486395,0.2229072614199879,0.11763100158938894,-0.184360667360246,0.09434111263849343,0.21692831715018607,0.1278106761040847
Aktivitetet e shendetit te njeriut dhe te punes sociale,0.17559605782642299,0.23463306376284893,0.3388215382317139,0.1426108859386775,0.06743834171038808,0.12293808499847131,-0.016833185020940618,0.26371210957608354,0.4493222825357085,0.41251635705432027,0.12078914971053588,0.22533628533319539,0.03786649728471449,0.5610936571708358,0.15558051210541843,0.11088719503527832,0.13647243828964314,-0.013859006787804126,-0.05854394190030491,0.3540341937015169
Aktivitetet e tjera sherbyese,-0.22935852007776347,0.0967802479788533,0.16263754034614777,0.24289747779431453,0.2500032005484806,1.7486000645340731,0.03677241852629877,0.3411562913347473,0.7526772742192097,0.13928909792873767,0.0648041212203219,0.3789688972649263,0.566416162102969,0.20052515447697536,-0.05936119065858602,0.1994035171892632,0.11218952154687596,0.12799717064342095,0.6039194516121577,-0.22027261391924682
Aktivitetet financiare dhe te sigurimit,0.19417684053259965,0.29060929299089583,-0.28187152461840603,0.4009536415879318,0.22824821996774639,0.21364823467051522,0.23739905317874394,0.46476605870100135,0.1330182842911938,0.3060693442930194,0.042890408310336976,-0.9098259265777036,0.21558419998277364,0.46252330516878903,0.10486210157027055,0.0,0.012221410936510359,3.9900340933232097,-0.20845739105414243,0.11367089997114058
"Aktivitetet profesionale, shkencore dhe teknike",0.17235624804178878,0.28381174475569987,0.12311902483719307,0.2504829192454494,0.3293763758833941,0.1178796667581569,-0.03261056587971785,0.1313708590442411,0.4047211913770199,0.1310382704683136,-0.09927293809610042,0.6097685605691726,0.15743868655153573,0.18692688019349646,-0.09583654735339281,0.9345118889025293,0.3170038563547805,1.0042819094706756,0.306822865718028,0.9909991813463429
Bujqesia;Pylltaria dhe Peshkimi,-0.03302327253681688,-0.09497247939313212,0.35920990766409855,0.6199483829897083,-0.051627225671466395,-0.19187423901686226,0.2908628145008295,0.14974283274565528,0.33576885652240723,0.09753196062467934,0.33750256381733645,0.2185524861924777,0.19535535984502014,-0.1718439714519231,0.3790636071691315,-0.6293235980211611,0.016501293718781618,0.05667675145123273,2.8226468925100976,0.2068687711896824
"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",-0.143432132355911,0.0,0.2970946819948233,1.0688910087462968,0.2936351674246069,-0.29039609831814794,0.10581047188840718,0.355883308476618,-0.2438257474801142,0.0,0.0,0.0,0.0047968724512246095,0.0,0.0,0.0,0.0,-0.2522730039968857,0.0,0.8538817237293326
Industria nxjerrese,-0.0756592592320058,0.0,0.39787861548314696,0.06343956394784896,0.3752433303020447,-0.10117768132059654,0.010803398707046512,0.18116777480887078,-0.012561323049985756,0.254516893256422,-0.4113455182622313,0.0,0.763660344737092,-0.36890137226622555,-0.16674475679188325,-0.958672454173743,0.40517754893291325,-0.10571797861328498,0.08850356989481349,-0.05725950923136088
Industria perpunuese,0.03925734999967128,0.018556821424272937,0.10464023628475148,0.1523646346803364,-0.012854184935843517,0.11707391597199387,0.07359253248354516,-0.09603099155051725,0.2799559210253317,0.14105309820987322,0.1635715781986529,0.026392098128048293,-0.03489681614284352,0.22439691953758356,0.06863556560156538,0.148561908094679,-0.01627376831982931,0.2334380944689829,0.16143003192169633,0.2440766076516588
Informimi dhe komunikimi,0.09780552445608903,0.8753795658163904,0.28589934662323774,0.13881252836959362,0.12027806770695172,0.16193641325869318,0.28414749963476327,0.14548355160216314,0.07330259376389246,0.6540557100029242,0.04478203971281676,0.057929423914482636,1.434928257614706,0.7232572709577596,0.7398014429415475,0.2196770512298132,0.16303738619180685,0.26569963361286814,-0.2173307991667827,1.3050253338230977
Ndertimtaria,0.10527823331133547,-0.2690667459505225,0.22575106132609557,0.19808309152067108,0.06770563111952319,-0.11026726773570239,-0.06537306667028389,0.19279755643563998,0.23262373497239436,0.0519076207709273,-0.045190439359263444,0.09254027548987626,0.13115986954823566,0.3445346522548368,0.17013187655366743,0.8494391848093884,0.315009513690331,0.4818401352440929,0.5763802738628592,0.13696348514606746
Person Fizik,-0.0720178328952673,-0.08324575725774112,-0.7797853544350216,-0.03440020646389484,-0.5091963211143535,-0.7910252625509672,-0.878657130640271,-0.5882457793305771,1.391943362980876,-0.3151358152283793,0.12201673190821559,1.636393671981457,-0.22736139124079097,-0.4733904218354362,-0.37414422696576694,-0.9736269451105807,-0.7217967085803831,-0.532043990561213,-0.6467470775110762,0.1686969171923204
Sherbimet administrative dhe mbeshtetese,0.16668990791514052,0.45970918345396555,0.22829957498852962,-0.06506478980153278,0.3877820293848522,0.29669599030513344,0.1747558964460282,0.01864432863343501,-0.16251370690900974,0.7970221279111538,0.09838028819439622,1.173163921313044,0.014094465431349104,0.4845275016109616,-0.10243292534147078,0.5806601028076572,0.11087752672721599,-0.21132911178473696,4.693632305276641,0.33653788367207693
Transporti dhe magazinimi,0.042681562818453214,-0.20428990915302817,0.03897055506119423,-0.21846491526341982,0.21227096852932667,0.030467002537686298,0.03762332716714897,0.1705922497162374,0.14985868977076178,0.9330046053181072,0.1437207346712311,0.2868906117926366,0.30260188216067896,0.03032623899076682,0.15169661256845873,0.49347680730692234,0.03381243101443774,0.5547436942305844,0.20409114195986727,-0.1601863408843397
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.12445619669637413,0.0936913782222914,0.20089600667315344,0.13352059626972626,0.033398738389182024,-0.008511822266309381,0.09323307625992461,0.08348653094761112,-0.025893974945998134,0.009602267725173506,0.11374980099403018,0.011746763069669777,0.056229959160589,0.11223129467792542,0.15861635124236687,0.14186696112395455,0.13521484623695154,0.16912519470997125,0.0023638823265716494,0.14279507263657953
