,precision,recall,f1-score,support
DECLINING,0.5240384615384616,0.4448979591836735,0.48123620309050774,245.0
GROWING,0.6725352112676056,0.821505376344086,0.739593417231365,465.0
STABLE,0.25,0.04878048780487805,0.08163265306122448,82.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.48219122426868904,0.43839460777754585,0.4341540911276991,792.0
weighted avg,0.5828513842378279,0.625,0.5915501089908832,792.0
