year,turnover_sum,turnover_mean,turnover_median,turnover_min,turnover_max,taxpayers_sum,taxpayers_mean,row_count
2025.0,23811372168.39,233131.6973123354,13683.51,-45191.96,79408367.96,589931.0,5.775879456024751,102137
2024.0,20617432906.6,211073.34131799053,12938.51,-110660.23,111837779.58,550343.0,5.634199776819992,97679
2023.0,20324288747.31,211987.36633439377,12714.43,-141891.52,71685872.23,520615.0,5.4301434159061275,95875
2022.0,18845573125.0,202129.81310666594,11744.65,-142449.42,120330115.96,494380.0,5.302515149890063,93235
2021.0,15400266531.77,171214.8991269303,10325.31,-42244.81,89226446.81,469310.0,5.217628158804629,89947
2019.0,12383222505.53,144638.46879086609,8288.19,-2850000.0,59687817.2,454081.0,5.303755183087076,85615
2020.0,11664813801.94,134970.3650788545,7428.14,-104969.75,64145198.44,457314.0,5.29145501880243,86425
